# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 9.939s, Samples: 282
# Max Linear Vel: 0.437 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 15.656 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 1.257m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
0.042552 0.477416 0.024814 0.424584 0.000000 0.000000 0.000000
0.075106 0.481088 0.018372 0.432805 0.000000 0.000000 0.000000
0.113362 0.483776 0.013784 0.439038 0.000000 0.000000 0.000000
0.143922 0.485801 0.010323 0.443728 0.000000 0.000000 0.000000
0.175552 0.487373 0.007511 0.447158 0.000000 0.000000 0.000000
0.208138 0.488404 0.005817 0.449660 0.000000 0.000000 0.000000
0.255006 0.489240 0.004379 0.451579 0.000000 0.000000 0.000000
0.286617 0.489827 0.003438 0.453040 0.000000 0.000000 0.000000
0.317584 0.490305 0.002664 0.454219 0.000000 0.000000 0.000000
0.349140 0.490649 0.002133 0.455113 0.000000 0.000000 0.000000
0.381227 0.490868 0.001830 0.455737 0.000000 0.000000 0.000000
0.412816 0.491041 0.001535 0.456143 0.000000 0.000000 0.000000
0.443363 0.491177 0.001396 0.456611 0.000000 0.000000 0.000000
0.474928 0.491269 0.001315 0.456953 0.000000 0.000000 0.000000
0.506512 0.491339 0.001185 0.457100 0.000000 0.000000 0.000000
0.538166 0.491370 0.001184 0.457255 0.000000 0.000000 0.000000
0.569598 0.491414 0.001139 0.457407 0.000000 0.000000 0.000000
0.601105 0.491453 0.001090 0.457530 0.000000 0.000000 0.000000
0.650533 0.491474 0.001086 0.457631 0.000000 0.000000 0.000000
0.680518 0.491464 0.001165 0.457712 0.000000 0.000000 0.000000
0.710989 0.491478 0.001104 0.457683 0.000000 0.000000 0.000000
0.742170 0.491472 0.001181 0.457777 0.000000 0.000000 0.000000
0.772368 0.491407 0.001431 0.457863 0.000000 0.000000 0.000000
0.803488 0.491372 0.001579 0.457929 0.000000 0.000000 0.000000
0.834571 0.491415 0.001411 0.457868 0.000000 0.000000 0.000000
0.866168 0.491433 0.001331 0.457830 0.000000 0.000000 0.000000
0.897207 0.491420 0.001350 0.457795 0.000000 0.000000 0.000000
0.944143 0.491391 0.001450 0.457809 0.000000 0.000000 0.000000
0.975839 0.491314 0.001676 0.457793 0.000000 0.000000 0.000000
1.006651 0.491229 0.001946 0.457802 0.000000 0.000000 0.000000
1.037489 0.491144 0.002263 0.457894 0.000000 0.000000 0.000000
1.085129 0.491026 0.002623 0.457887 0.000000 0.000000 0.000000
1.117718 0.490942 0.002913 0.457940 0.000000 0.000000 0.000000
1.148250 0.490836 0.003215 0.457896 0.000000 0.000000 0.000000
1.181070 0.490790 0.003343 0.457872 0.000000 0.000000 0.000000
1.210501 0.490784 0.003316 0.457799 0.000000 0.000000 0.000000
1.242739 0.490697 0.003479 0.457618 0.000000 0.000000 0.000000
1.272780 0.490425 0.004082 0.457223 0.000000 0.000000 0.000000
1.305888 0.489845 0.005491 0.456579 0.000000 0.000000 0.000000
1.350580 0.489404 0.006530 0.456034 0.000000 0.000000 0.000000
1.382285 0.488621 0.008367 0.455062 0.000000 0.000000 0.000000
1.413130 0.488022 0.009717 0.454218 0.000000 0.000000 0.000000
1.444972 0.487465 0.010689 0.452966 0.000000 0.000000 0.000000
1.475566 0.486459 0.012941 0.451528 0.000000 0.000000 0.000000
1.492611 0.485720 0.014626 0.450527 0.000000 0.000000 0.000000
1.522029 0.484743 0.016936 0.449338 0.000000 0.000000 0.000000
1.554098 0.483457 0.020132 0.448037 0.000000 0.000000 0.000000
1.585680 0.482406 0.022792 0.447049 0.000000 0.000000 0.000000
1.617176 0.480962 0.026579 0.445923 0.000000 0.000000 0.000000
1.647652 0.479309 0.031097 0.444934 0.000000 0.000000 0.000000
1.712137 0.477764 0.035444 0.444221 0.000000 0.000000 0.000000
1.756273 0.476602 0.038716 0.443688 0.000000 0.000000 0.000000
1.773297 0.475225 0.042834 0.443460 0.000000 0.000000 0.000000
1.802511 0.474282 0.045585 0.443189 0.000000 0.000000 0.000000
1.834111 0.473219 0.049013 0.443433 0.000000 0.000000 0.000000
