# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 8.275s, Samples: 248
# Max Linear Vel: 0.419 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 13.913 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 1.410m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
1.722561 0.300000 -0.055978 0.143871 0.000000 0.000000 0.000000
1.769486 0.300000 -0.055772 0.143293 0.000000 0.000000 0.000000
1.800802 0.300000 -0.053688 0.142830 0.000000 0.000000 0.000000
1.879632 0.300000 -0.049663 0.148485 0.000000 0.000000 0.000000
1.925903 0.300000 -0.049050 0.156304 0.000000 0.000000 0.000000
1.957186 0.300000 -0.049716 0.165953 0.000000 0.000000 0.000000
1.988240 0.300000 -0.049599 0.174177 0.000000 0.000000 0.000000
2.019790 0.300000 -0.049176 0.183331 0.000000 0.000000 0.000000
2.051738 0.300000 -0.048352 0.193316 0.000000 0.000000 0.000000
2.083207 0.300000 -0.047190 0.201018 0.000000 0.000000 0.000000
2.114755 0.300000 -0.046414 0.208567 0.000000 0.000000 0.000000
2.145332 0.300000 -0.046548 0.215146 0.000000 0.000000 0.000000
2.176884 0.300000 -0.046383 0.220195 0.000000 0.000000 0.000000
2.206738 0.300000 -0.047009 0.224770 0.000000 0.000000 0.000000
2.238309 0.300000 -0.047515 0.228927 0.000000 0.000000 0.000000
2.286020 0.300000 -0.047710 0.232236 0.000000 0.000000 0.000000
2.318682 0.300000 -0.047658 0.235149 0.000000 0.000000 0.000000
2.348748 0.300000 -0.047456 0.237507 0.000000 0.000000 0.000000
2.380553 0.300000 -0.047248 0.239270 0.000000 0.000000 0.000000
2.412122 0.300000 -0.047160 0.240689 0.000000 0.000000 0.000000
2.443143 0.300000 -0.047172 0.241789 0.000000 0.000000 0.000000
2.473708 0.300000 -0.047165 0.242617 0.000000 0.000000 0.000000
2.503904 0.300000 -0.047214 0.243239 0.000000 0.000000 0.000000
2.535443 0.300000 -0.047266 0.243792 0.000000 0.000000 0.000000
