# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 7.798s, Samples: 214
# Max Linear Vel: 1.030 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 14.257 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 1.159m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
2.198501 0.500000 0.024092 0.457215 0.000000 0.000000 0.000000
2.244627 0.500000 0.023734 0.458520 0.000000 0.000000 0.000000
2.276707 0.500000 0.023479 0.459579 0.000000 0.000000 0.000000
2.308763 0.500000 0.023477 0.461090 0.000000 0.000000 0.000000
2.339806 0.500000 0.023917 0.462828 0.000000 0.000000 0.000000
2.371876 0.500000 0.023904 0.464137 0.000000 0.000000 0.000000
2.403105 0.500000 0.024046 0.465684 0.000000 0.000000 0.000000
2.434718 0.500000 0.024492 0.467309 0.000000 0.000000 0.000000
2.481470 0.500000 0.024562 0.468583 0.000000 0.000000 0.000000
2.514544 0.500000 0.024700 0.469938 0.000000 0.000000 0.000000
2.544192 0.500000 0.024607 0.470803 0.000000 0.000000 0.000000
2.577377 0.500000 0.024969 0.472050 0.000000 0.000000 0.000000
2.608063 0.500000 0.025272 0.473360 0.000000 0.000000 0.000000
2.639137 0.500000 0.025564 0.474490 0.000000 0.000000 0.000000
2.671213 0.500000 0.025655 0.475313 0.000000 0.000000 0.000000
2.702274 0.500000 0.025723 0.476040 0.000000 0.000000 0.000000
2.733560 0.500000 0.025926 0.476584 0.000000 0.000000 0.000000
2.764099 0.500000 0.026147 0.476983 0.000000 0.000000 0.000000
2.795047 0.500000 0.026625 0.477086 0.000000 0.000000 0.000000
2.826117 0.500000 0.027285 0.476979 0.000000 0.000000 0.000000
2.889014 0.500000 0.027901 0.476803 0.000000 0.000000 0.000000
2.919621 0.500000 0.028634 0.476496 0.000000 0.000000 0.000000
2.951264 0.500000 0.029220 0.476285 0.000000 0.000000 0.000000
2.983472 0.500000 0.030044 0.475956 0.000000 0.000000 0.000000
3.014034 0.500000 0.031509 0.475363 0.000000 0.000000 0.000000
3.046105 0.500000 0.033613 0.474463 0.000000 0.000000 0.000000
3.077720 0.500000 0.035346 0.473802 0.000000 0.000000 0.000000
3.108788 0.500000 0.037984 0.472745 0.000000 0.000000 0.000000
3.139598 0.500000 0.041773 0.471361 0.000000 0.000000 0.000000
3.171683 0.500000 0.044750 0.470337 0.000000 0.000000 0.000000
3.203263 0.500000 0.048914 0.469202 0.000000 0.000000 0.000000
3.234431 0.500000 0.052267 0.468236 0.000000 0.000000 0.000000
3.267324 0.500000 0.056802 0.467248 0.000000 0.000000 0.000000
3.297908 0.500000 0.062896 0.466028 0.000000 0.000000 0.000000
3.328270 0.500000 0.067830 0.465144 0.000000 0.000000 0.000000
