# MediaPipe Hand Trajectory Data
# Format: time(s) x(m) y(m) z(m) roll(rad) pitch(rad) yaw(rad)
# Duration: 8.748s, Samples: 263
# Max Linear Vel: 0.767 m/s, Max Angular Vel: 0.000 rad/s
# Max Linear Accel: 31.603 m/s^2, Max Angular Accel: 0.000 rad/s^2
# Total Distance: 0.604m, Total Rotation: 0.000rad
# Robot base frame: +x forward, +y left, +z up
# Recorded in ZY plane with fixed X
1.225596 0.300000 0.016376 0.257950 0.000000 0.000000 0.000000
1.272900 0.300000 0.025388 0.225531 0.000000 0.000000 0.000000
1.307098 0.300000 0.033479 0.202021 0.000000 0.000000 0.000000
1.336645 0.300000 0.040447 0.184984 0.000000 0.000000 0.000000
1.369550 0.300000 0.046449 0.173084 0.000000 0.000000 0.000000
1.399647 0.300000 0.052349 0.164771 0.000000 0.000000 0.000000
1.429819 0.300000 0.057176 0.159029 0.000000 0.000000 0.000000
1.461104 0.300000 0.061772 0.155406 0.000000 0.000000 0.000000
1.509031 0.300000 0.066166 0.153691 0.000000 0.000000 0.000000
1.537494 0.300000 0.070446 0.153731 0.000000 0.000000 0.000000
1.568814 0.300000 0.074143 0.155267 0.000000 0.000000 0.000000
1.600396 0.300000 0.078053 0.157970 0.000000 0.000000 0.000000
1.633001 0.300000 0.081552 0.161648 0.000000 0.000000 0.000000
1.663049 0.300000 0.084416 0.166109 0.000000 0.000000 0.000000
1.694074 0.300000 0.087545 0.171000 0.000000 0.000000 0.000000
1.724401 0.300000 0.090849 0.176488 0.000000 0.000000 0.000000
1.755169 0.300000 0.093386 0.182182 0.000000 0.000000 0.000000
1.786976 0.300000 0.095773 0.187890 0.000000 0.000000 0.000000
1.832954 0.300000 0.098756 0.193684 0.000000 0.000000 0.000000
1.864576 0.300000 0.100961 0.199259 0.000000 0.000000 0.000000
1.895859 0.300000 0.103495 0.204398 0.000000 0.000000 0.000000
1.927322 0.300000 0.105509 0.209076 0.000000 0.000000 0.000000
1.959441 0.300000 0.108533 0.212787 0.000000 0.000000 0.000000
1.991271 0.300000 0.111143 0.215482 0.000000 0.000000 0.000000
2.021540 0.300000 0.113273 0.217651 0.000000 0.000000 0.000000
2.053890 0.300000 0.114890 0.219487 0.000000 0.000000 0.000000
2.100989 0.300000 0.116100 0.220806 0.000000 0.000000 0.000000
2.131870 0.300000 0.116691 0.222048 0.000000 0.000000 0.000000
2.163698 0.300000 0.117549 0.223139 0.000000 0.000000 0.000000
2.195044 0.300000 0.118767 0.223940 0.000000 0.000000 0.000000
2.241775 0.300000 0.119905 0.224728 0.000000 0.000000 0.000000
2.272330 0.300000 0.121311 0.225775 0.000000 0.000000 0.000000
2.303372 0.300000 0.122265 0.226513 0.000000 0.000000 0.000000
2.335311 0.300000 0.123362 0.227821 0.000000 0.000000 0.000000
2.368370 0.300000 0.124624 0.228478 0.000000 0.000000 0.000000
2.398148 0.300000 0.125985 0.228984 0.000000 0.000000 0.000000
2.429078 0.300000 0.127277 0.229476 0.000000 0.000000 0.000000
2.460792 0.300000 0.128569 0.229933 0.000000 0.000000 0.000000
2.491844 0.300000 0.129533 0.230314 0.000000 0.000000 0.000000
2.521902 0.300000 0.130611 0.230514 0.000000 0.000000 0.000000
2.553724 0.300000 0.131457 0.230570 0.000000 0.000000 0.000000
2.586288 0.300000 0.132343 0.230744 0.000000 0.000000 0.000000
2.647335 0.300000 0.133383 0.230876 0.000000 0.000000 0.000000
2.678407 0.300000 0.134357 0.231161 0.000000 0.000000 0.000000
2.711496 0.300000 0.135142 0.231335 0.000000 0.000000 0.000000
2.741567 0.300000 0.135777 0.231408 0.000000 0.000000 0.000000
2.774609 0.300000 0.136397 0.231266 0.000000 0.000000 0.000000
2.802656 0.300000 0.136717 0.231194 0.000000 0.000000 0.000000
2.834219 0.300000 0.137224 0.231073 0.000000 0.000000 0.000000
2.865285 0.300000 0.137244 0.230699 0.000000 0.000000 0.000000
2.896351 0.300000 0.137167 0.230346 0.000000 0.000000 0.000000
2.927894 0.300000 0.137228 0.230059 0.000000 0.000000 0.000000
2.959959 0.300000 0.137434 0.229984 0.000000 0.000000 0.000000
2.991618 0.300000 0.137866 0.229948 0.000000 0.000000 0.000000
3.038891 0.300000 0.138062 0.229881 0.000000 0.000000 0.000000
3.070925 0.300000 0.138425 0.229933 0.000000 0.000000 0.000000
3.102842 0.300000 0.138599 0.229826 0.000000 0.000000 0.000000
3.134804 0.300000 0.138854 0.229692 0.000000 0.000000 0.000000
3.166325 0.300000 0.139417 0.229718 0.000000 0.000000 0.000000
3.197058 0.300000 0.139582 0.229901 0.000000 0.000000 0.000000
3.228132 0.300000 0.139369 0.229909 0.000000 0.000000 0.000000
3.259410 0.300000 0.139027 0.229722 0.000000 0.000000 0.000000
3.291467 0.300000 0.138111 0.229596 0.000000 0.000000 0.000000
3.338665 0.300000 0.137438 0.229323 0.000000 0.000000 0.000000
3.370048 0.300000 0.136702 0.229204 0.000000 0.000000 0.000000
3.401234 0.300000 0.136174 0.229033 0.000000 0.000000 0.000000
3.432528 0.300000 0.135729 0.228873 0.000000 0.000000 0.000000
3.479385 0.300000 0.135100 0.228780 0.000000 0.000000 0.000000
3.510911 0.300000 0.133886 0.228605 0.000000 0.000000 0.000000
3.543439 0.300000 0.133073 0.228395 0.000000 0.000000 0.000000
3.573480 0.300000 0.131321 0.228068 0.000000 0.000000 0.000000
3.605736 0.300000 0.129189 0.227808 0.000000 0.000000 0.000000
3.636823 0.300000 0.126632 0.227535 0.000000 0.000000 0.000000
3.667702 0.300000 0.123842 0.227223 0.000000 0.000000 0.000000
3.701283 0.300000 0.121117 0.227139 0.000000 0.000000 0.000000
3.724819 0.300000 0.117902 0.226906 0.000000 0.000000 0.000000
3.761365 0.300000 0.114050 0.226465 0.000000 0.000000 0.000000
3.792893 0.300000 0.109556 0.226163 0.000000 0.000000 0.000000
3.840041 0.300000 0.104984 0.225806 0.000000 0.000000 0.000000
3.872070 0.300000 0.099768 0.225605 0.000000 0.000000 0.000000
3.903183 0.300000 0.093956 0.225183 0.000000 0.000000 0.000000
3.935543 0.300000 0.086965 0.224838 0.000000 0.000000 0.000000
3.966568 0.300000 0.080057 0.224669 0.000000 0.000000 0.000000
3.998429 0.300000 0.073016 0.224270 0.000000 0.000000 0.000000
4.029807 0.300000 0.065131 0.223456 0.000000 0.000000 0.000000
4.061862 0.300000 0.056599 0.223483 0.000000 0.000000 0.000000
4.092603 0.300000 0.046705 0.223099 0.000000 0.000000 0.000000
4.123860 0.300000 0.035169 0.222910 0.000000 0.000000 0.000000
4.154877 0.300000 0.024034 0.222615 0.000000 0.000000 0.000000
4.186407 0.300000 0.012745 0.222617 0.000000 0.000000 0.000000
4.236856 0.300000 0.001863 0.222635 0.000000 0.000000 0.000000
4.265163 0.300000 -0.009508 0.223089 0.000000 0.000000 0.000000
4.295304 0.300000 -0.020675 0.223531 0.000000 0.000000 0.000000
4.326390 0.300000 -0.032179 0.223974 0.000000 0.000000 0.000000
4.356877 0.300000 -0.043829 0.224337 0.000000 0.000000 0.000000
4.403034 0.300000 -0.055111 0.224360 0.000000 0.000000 0.000000
4.435249 0.300000 -0.066572 0.224700 0.000000 0.000000 0.000000
